2000,14030,17406,1774,2147,50288,61485,7349,9203,108426,145575,40097,54596,8296,9376,3975,4611,201,806,110762,155269,70543,91820,4354,4905,9961,10915,39618,51944,31513,37903,9051,12500,9864,12542,15409,18460,13415,14720,5842,6177,25504,30358,14758,18000,44150,52489,26454,32814,8072,11270,19054,24321,1803,2572,6769,9105,26446,32285,6231,6680,26609,34585,8266,8869,27477,44105,61004,78376,1367,2128,39702,49745,9210,11148,16262,19877,35350,41076,13312,18489,2327,2596,25663,32812,3251,4196,25398,32203,111933,141231,15225,17638,2280,2506,40465,48402,155,155,26924,39021,3379,3763,26015,34154,1463,1582
2001,14373,17706,2222,2939,52963,62496,7926,10407,110634,146739,37978,55007,8039,9290,4478,4814,164,896,123397,167035,73121,93059,4151,4790,10079,11820,41239,54839,33458,39117,9364,13085,10853,14530,15519,17685,13596,15653,6067,6492,24070,29059,13590,17034,41709,50139,27815,34151,8334,9908,19926,24739,1959,2604,6755,8198,27873,36125,6022,6624,22135,28267,9015,9989,28057,45542,64768,82030,1581,2687,40421,49931,10075,12352,17087,21322,35641,41403,12739,17761,2245,2407,25453,30133,3544,4455,27077,32370,115275,150342,15559,18887,2435,2747,42468,52860,155,155,27935,38345,3564,3947,27395,37773,1546,1907
2002,15522,18403,2178,3003,56920,66031,8643,12436,126355,159573,36305,47871,8687,9731,6093,6331,401,1591,133718,185431,77012,97523,4703,5902,11271,13488,44718,60971,32129,39596,10636,14789,10882,12983,16917,19459,15624,18425,6603,7207,24298,29293,14237,17465,42839,49968,29582,38977,9143,11276,22113,28255,2337,3574,7459,9278,28427,35615,7038,8708,23970,30441,10520,12066,29935,49149,68177,79824,1925,3265,41536,51246,11485,12979,18170,22186,39651,45114,14738,19780,2279,2848,29231,34104,3972,4816,29876,34273,126842,165027,16270,19327,2562,3072,46657,59445,155,155,31583,40200,4594,4890,28016,38208,1874,2045
2003,18120,22256,2340,3531,66971,74996,10705,14839,144813,191948,34656,39569,8484,10435,6810,7760,184,1427,162290,213567,81833,96704,6361,7284,13075,15091,47398,62211,33244,39421,12379,16082,12178,15049,18005,20404,19039,22220,7496,7933,23809,29914,13895,20257,45956,53913,33674,42046,10371,12010,24101,29309,2636,3767,8902,10339,34111,43366,6887,8641,24264,32984,12184,13759,28912,49708,68326,79226,2463,3721,44423,53041,13055,14968,18880,25015,39778,47356,13973,18281,2007,2286,32202,38191,4195,4986,32875,37530,138296,177194,19027,22525,2550,2843,47124,55936,155,155,34574,42825,4760,5133,30654,40884,2407,2814
2004,18866,22755,2169,3133,82184,90644,11302,15855,156955,207390,41563,46499,9524,11837,7562,7858,246,1936,193354,255893,89029,108356,5907,9034,15986,18108,48201,59753,33474,39233,12917,16345,12014,13301,19114,22623,21171,22989,8215,8771,22052,27382,15745,22477,47073,54721,33390,41843,11619,14532,27547,32791,3741,4975,9307,10920,39825,44556,7268,8653,25016,35936,11791,12555,29519,53497,78793,93077,2650,4033,44151,51695,14536,17068,21739,27309,42483,49665,13614,17514,1976,2532,36787,43230,4821,5839,38778,44791,153463,188842,20939,24267,2867,3588,50110,63220,155,155,38201,50089,5197,5716,31602,39992,2924,3317
2005,20208,24279,2012,2885,81898,90851,13954,17932,159937,205020,40966,45891,9097,11885,6999,8195,194,2860,215130,287250,95478,109336,7056,9828,19718,21578,50165,66942,33200,38476,13292,16766,12095,14048,18463,21159,20627,22811,8075,8969,23413,30180,15643,24549,39692,45328,30167,36509,11854,13396,27417,33114,3763,4803,8873,9929,38474,47728,6648,7586,24839,38588,13511,14180,30461,61949,86494,97910,2494,4038,40082,47727,16043,18362,24850,31024,38172,44525,12747,17346,1943,2836,44292,54157,4865,5685,41055,46615,170594,210611,24589,27799,2518,2917,50837,61518,91,91,42968,52988,5583,6140,27553,35334,3293,3997
2006,21550,25804,1834,2739,56853,65363,11413,13885,112382,160502,31160,38343,7390,9236,5253,6504,161,2105,150710,203238,87273,104200,5743,7530,15269,17075,39921,58802,25382,29069,10640,13357,11535,14619,14017,16628,24504,28671,6687,7293,18135,23262,11852,19580,25325,29191,21297,26352,14483,16618,21458,29172,3669,4542,6780,8230,27399,39445,4984,5677,19914,34323,12441,13573,24890,54382,84141,99979,2418,3529,28661,34422,14380,15840,20749,26623,33878,39128,11083,14718,1998,2370,42379,50776,4223,5304,40024,46003,167273,216642,23091,25873,2204,2626,39562,47704,91,91,37123,50033,5249,5645,20839,27329,3183,3537
2007,22892,27329,1159,1706,38804,49642,8521,11031,72017,110073,21199,29454,5623,7746,4542,5291,601,1910,72525,102551,56341,73165,4636,6972,10080,12105,26072,43020,19979,23841,9018,11171,8626,11473,12096,14938,17393,23379,5195,5873,13469,18582,9623,15358,15544,17767,14775,17930,11524,16832,15924,21525,3247,4153,6212,7604,16655,27209,3882,4561,14852,25389,8369,9206,21025,54059,71626,85777,2273,3360,21610,27095,12351,14730,15926,21101,28225,33665,7859,12147,1515,1938,33368,40631,3822,5112,30241,37359,122845,176992,16991,20292,1688,2056,31481,38362,406,511,32306,47397,3998,4795,17158,21837,3800,4555
2008,24234,28853,738,901,19633,26082,5615,8810,34653,62681,11618,18998,3334,5220,2785,3346,272,536,40164,61042,25508,35368,2689,4115,5864,6470,12677,22528,12278,16631,6514,8412,5709,8188,7301,10494,12314,16305,3191,3615,9087,13018,5828,9883,9245,10911,9100,11551,7939,11428,8541,13273,2024,2376,4818,6346,7566,14881,2434,3234,10116,18363,5318,6070,15208,51637,40101,54652,1960,2833,13581,17666,8723,10502,7810,11676,20723,24577,7039,9151,926,1058,20254,25918,2835,3884,16852,22389,82637,129523,7461,10905,1137,1444,20432,27577,422,531,18665,28919,2656,3481,10728,15509,2274,2669
2009,25576,30378,675,916,12954,14474,4905,7056,26609,35069,7445,9355,2587,3786,2738,3156,199,1126,27288,35329,15012,18228,2059,2617,4362,4863,8223,10859,10023,12555,5965,7729,4529,6677,6248,7398,11104,12513,2884,3121,8281,11123,5406,7941,6335,6884,7495,9425,5740,6995,7056,10056,1426,1686,4641,5150,4768,6764,1770,2287,7782,12421,4207,4642,10678,18344,26009,33800,1788,3195,10962,13343,7473,8753,5466,7039,15789,18275,4385,5224,769,961,13633,15529,2642,3691,12294,15005,68443,84440,6626,9982,965,1367,16650,21452,282,372,13552,17011,2020,2235,8315,10780,1648,2294
2010,26917,31903,787,904,10883,12370,5014,7177,27178,43716,9092,11591,2748,3932,2749,3072,207,739,30901,38679,15066,17265,2046,3442,3643,4153,8077,12318,10217,13083,6202,7607,4183,5140,6288,7986,10479,11343,2872,3034,8614,11931,6223,9075,7927,9075,7210,9840,4602,5259,7394,9699,1442,2022,3967,5401,5467,6443,1989,2670,8167,13535,4074,4533,11104,19568,26720,33889,2187,3833,11002,13710,7064,8140,5429,6868,17387,19740,3000,4200,770,934,12815,14021,2287,2946,12071,16475,68731,88461,7116,9171,1029,1319,16438,20992,310,404,15169,20691,1857,2395,8031,10864,1604,2298
2011,28259,33427,746,877,10478,13007,4476,6800,23089,45471,9048,13502,2315,3173,2550,2954,300,4612,32674,42360,14139,18493,1660,2743,3256,3815,7275,11809,9733,12618,6078,7526,3726,5386,5218,7782,10366,12173,2342,2744,8569,13481,5184,7725,8110,9341,6887,8890,4436,5273,6649,9242,1313,1914,3749,5203,4777,6163,1745,2346,7177,12952,3513,4067,9782,22575,25478,32804,3089,6201,9842,13762,6684,8782,5074,7663,12283,14967,1792,3476,627,700,13026,15542,2082,2813,11876,14977,67392,97450,7123,9983,881,1299,15936,23297,190,252,13703,20864,1669,2220,6869,9939,1524,2114
2012,29601,34952,855,994,16753,21726,5772,8231,29581,58549,13099,23301,2669,4669,3095,4091,324,3823,43384,64810,17705,24350,2049,2993,5203,6265,9075,13797,10515,13781,7078,9501,4444,6252,5984,9725,11854,13018,2591,3001,9500,15217,6367,11111,10401,11692,9400,16095,5097,6039,8502,12297,1916,2736,4477,6116,7577,9071,1767,2296,8200,17939,3430,4672,10558,24872,30920,48692,4940,10340,11452,16905,9893,11930,6695,10608,14091,18796,1792,3476,692,731,15550,18708,2932,4178,14465,20147,82471,135514,10265,13007,949,1301,18009,27278,44,63,17173,28118,1864,2718,8133,12041,1719,2110
2013,30943,36477,933,1079,18868,25209,5829,7481,39360,80742,16379,27517,3052,5424,3927,4827,417,3255,57048,86752,25222,36174,2399,3882,6531,8110,10443,15545,12635,17950,7895,10877,5375,8285,6448,8955,12669,14015,2900,3427,10910,17918,7597,14569,13265,15757,11339,17313,5339,6799,9827,13708,2842,4854,5299,7543,9192,11174,2218,2788,11578,24209,3737,5161,11641,32581,36061,51290,4233,10532,13378,19903,11193,13583,8764,14843,16208,21650,1792,3476,845,928,20570,24725,3348,5482,17104,23816,93920,147460,12310,15818,1039,1499,21369,31944,239,308,19308,32962,2053,2575,9372,13869,1759,2300
2014,32285,38002,1196,1518,17402,26997,5569,7666,41488,83645,17770,28686,2980,5329,4282,5194,341,4189,57845,84075,28031,39423,2244,3066,6574,8797,11142,20578,12675,17816,7356,10256,5169,7459,6621,9536,13162,15255,2805,3242,10782,16331,7849,14486,12751,15933,10944,16990,5702,6871,9649,16003,2308,3884,4923,7605,9194,13016,2285,3403,12332,28155,4142,4799,12054,36286,35762,49911,4824,12178,13246,19872,10604,14179,9019,16645,17050,25059,1857,2474,837,952,21793,27537,2969,4722,18359,27632,103160,166982,11731,17510,1061,1546,19181,28682,253,293,18879,33898,2016,2677,9119,14622,1646,1901